65.990COP,32.995COP,,ILIMITADO,500 minutos Venezuela,"Venezuela,500","minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
65.990COP,32.995COP,,ILIMITADO,"Minutos  Ilimitados   a todo
									operadorColombia, Estados Unidos, Canadá y Puerto Rico","Canadá,Puerto Rico,Estados Unidos,","Ilimitados,Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
65.990COP,32.995COP,,ILIMITADO,SMS  ilimitados  a todo destino,"SMS,","ilimitados,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
65.990COP,32.995COP,,ILIMITADO,Movistar Cloud 5 GB,"Cloud,5",,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
75.990COP,37.995COP,,ILIMITADO,Además  12 GB  para compartir y Pasa Gigas,12,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
75.990COP,37.995COP,,ILIMITADO,500 minutos Venezuela,"Venezuela,500","minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:49"
75.990COP,37.995COP,,ILIMITADO,"Minutos  Ilimitados   a todo
									operadorColombia, Estados Unidos, Canadá y Puerto Rico","Canadá,Puerto Rico,Estados Unidos,","Ilimitados,Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:50"
75.990COP,37.995COP,,ILIMITADO,SMS  ilimitados  a todo destino,"SMS,","ilimitados,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:50"
75.990COP,37.995COP,,ILIMITADO,Movistar Cloud 5 GB,"Cloud,5",,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:50"
99.990COP,49.995COP,,ILIMITADO,"Además  25 GB  para  Roaming, compartir y Pasa
                                        Gigas",2525,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:50"
99.990COP,49.995COP,,ILIMITADO,Disfruta tus Gigas hasta en 61 países.,61,,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:50"
99.990COP,49.995COP,,ILIMITADO,500 minutos Venezuela,"Venezuela,500","minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:50"
99.990COP,49.995COP,,ILIMITADO,"Minutos  Ilimitados   a todo
									operadorColombia, Estados Unidos, Canadá y Puerto Rico","Canadá,Puerto Rico,Estados Unidos,","Ilimitados,Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:51"
99.990COP,49.995COP,,ILIMITADO,500 Minutos a América Latina y España,"América Latina,España,","Minutos,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:51"
99.990COP,49.995COP,,ILIMITADO,SMS  ilimitados  a todo destino,"SMS,","ilimitados,","portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:51"
99.990COP,49.995COP,,ILIMITADO,Movistar Cloud 10 GB,"Cloud,10",,"portación,Cliente Actual,línea nueva,","11/07/2021, 01:23:51"
